game_date,home_team,away_team,predicted_winner,actual_winner,home_win_prob,away_win_prob,confidence,edge,correct,home_pts,away_pts
2025-11-09,MEM,OKC,OKC,OKC,43.2,56.8,56.8,13.6,True,100,114
2025-11-10,DET,WAS,DET,DET,98.0,2.0,98.0,96.0,True,137,135
2025-11-10,MIA,CLE,MIA,MIA,62.3,37.7,62.3,24.6,True,140,138
2025-11-10,DAL,MIL,MIL,MIL,43.2,56.8,56.8,13.6,True,114,116
2025-11-11,BKN,TOR,TOR,TOR,23.1,76.9,76.9,53.8,True,109,119
2025-11-11,PHI,BOS,BOS,PHI,17.7,82.3,82.3,64.5,False,102,100
2025-11-11,OKC,GSW,OKC,OKC,78.4,21.6,78.4,56.9,True,126,102
2025-11-11,UTA,IND,IND,UTA,17.7,82.3,82.3,64.5,False,152,128
2025-11-12,CHA,MIL,MIL,CHA,23.1,76.9,76.9,53.8,False,111,100
2025-11-12,DET,CHI,CHI,DET,43.2,56.8,56.8,13.6,False,124,113
2025-11-12,NYK,ORL,NYK,ORL,62.3,37.7,62.3,24.6,False,107,124
2025-11-12,BOS,MEM,BOS,BOS,70.0,30.0,70.0,40.0,True,131,95
2025-11-12,MIA,CLE,MIA,CLE,60.3,39.7,60.3,20.6,False,116,130
2025-11-12,NOP,POR,POR,POR,17.7,82.3,82.3,64.5,True,117,125
2025-11-12,SAS,GSW,SAS,GSW,62.3,37.7,62.3,24.6,False,120,125
2025-11-12,DAL,PHX,PHX,PHX,46.7,53.3,53.3,6.7,True,114,123
2025-11-12,OKC,LAL,OKC,OKC,89.0,11.0,89.0,78.0,True,121,92
2025-11-12,SAC,ATL,SAC,ATL,75.4,24.6,75.4,50.9,False,100,133
2025-11-12,LAC,DEN,DEN,DEN,37.5,62.5,62.5,25.0,True,116,130
2025-11-13,CLE,TOR,CLE,TOR,75.4,24.6,75.4,50.9,False,113,126
2025-11-13,PHX,IND,PHX,PHX,62.3,37.7,62.3,24.6,True,133,98
2025-11-13,UTA,ATL,ATL,ATL,17.7,82.3,82.3,64.5,True,122,132
2025-11-14,NYK,MIA,MIA,NYK,43.2,56.8,56.8,13.6,False,140,132
2025-11-14,ORL,BKN,ORL,ORL,98.0,2.0,98.0,96.0,True,105,98
2025-11-14,DET,PHI,DET,DET,69.3,30.7,69.3,38.6,True,114,105
2025-11-14,HOU,POR,HOU,HOU,75.4,24.6,75.4,50.9,True,140,116
2025-11-14,MIL,CHA,MIL,MIL,62.3,37.7,62.3,24.6,True,147,134
2025-11-14,MIN,SAC,MIN,MIN,89.0,11.0,89.0,78.0,True,124,110
2025-11-14,NOP,LAL,LAL,LAL,37.9,62.1,62.1,24.1,True,104,118
