player,game_date,stat,prediction,actual,proxy_line,error,abs_error,edge_pct,abs_edge,direction,hit,opponent,is_home,minutes,games_trained_on
Nikola Jokic,2026-02-04,PTS,28.9,30.0,29.1,-1.1,1.1,-0.6,0.6,UNDER,False,NYK,0,45.0,105
Nikola Jokic,2026-02-04,REB,13.4,14.0,12.1,-0.6,0.6,11.2,11.2,OVER,True,NYK,0,45.0,105
Nikola Jokic,2026-02-04,AST,4.9,10.0,10.5,-5.1,5.1,-53.7,53.7,UNDER,True,NYK,0,45.0,105
Nikola Jokic,2026-02-04,PRA,46.7,54.0,51.7,-7.3,7.3,-9.8,9.8,UNDER,False,NYK,0,45.0,105
Nikola Jokic,2026-02-07,PTS,30.7,22.0,29.1,8.7,8.7,5.5,5.5,OVER,False,CHI,0,33.0,106
Nikola Jokic,2026-02-07,REB,14.8,14.0,12.1,0.8,0.8,22.2,22.2,OVER,True,CHI,0,33.0,106
Nikola Jokic,2026-02-07,AST,11.2,17.0,10.5,-5.8,5.8,6.5,6.5,OVER,True,CHI,0,33.0,106
Nikola Jokic,2026-02-07,PRA,54.9,53.0,51.8,1.9,1.9,6.0,6.0,OVER,True,CHI,0,33.0,106
Nikola Jokic,2026-02-09,PTS,24.4,22.0,28.9,2.4,2.4,-15.8,15.8,UNDER,True,CLE,1,33.0,107
Nikola Jokic,2026-02-09,REB,13.0,14.0,12.2,-1.0,1.0,6.4,6.4,OVER,True,CLE,1,33.0,107
Nikola Jokic,2026-02-09,AST,14.2,11.0,10.7,3.2,3.2,32.7,32.7,OVER,True,CLE,1,33.0,107
Nikola Jokic,2026-02-09,PRA,51.5,47.0,51.8,4.5,4.5,-0.6,0.6,UNDER,True,CLE,1,33.0,107
Nikola Jokic,2026-02-11,PTS,26.9,26.0,28.8,0.9,0.9,-6.4,6.4,UNDER,True,MEM,1,34.0,108
Nikola Jokic,2026-02-11,REB,11.7,15.0,12.2,-3.3,3.3,-4.7,4.7,UNDER,False,MEM,1,34.0,108
Nikola Jokic,2026-02-11,AST,11.0,11.0,10.7,-0.0,0.0,2.9,2.9,OVER,True,MEM,1,34.0,108
Nikola Jokic,2026-02-11,PRA,49.3,52.0,51.7,-2.7,2.7,-4.6,4.6,UNDER,False,MEM,1,34.0,108
Nikola Jokic,2026-02-19,PTS,25.7,22.0,28.7,3.7,3.7,-10.3,10.3,UNDER,True,LAC,0,36.0,109
Nikola Jokic,2026-02-19,REB,14.4,17.0,12.3,-2.6,2.6,17.4,17.4,OVER,True,LAC,0,36.0,109
Nikola Jokic,2026-02-19,AST,9.3,6.0,10.7,3.3,3.3,-13.0,13.0,UNDER,True,LAC,0,36.0,109
Nikola Jokic,2026-02-19,PRA,50.3,45.0,51.7,5.3,5.3,-2.6,2.6,UNDER,True,LAC,0,36.0,109
LeBron James,2026-02-03,PTS,21.9,25.0,21.9,-3.1,3.1,-0.2,0.2,UNDER,False,BKN,0,30.0,101
LeBron James,2026-02-03,REB,5.1,3.0,5.8,2.1,2.1,-11.9,11.9,UNDER,True,BKN,0,30.0,101
LeBron James,2026-02-03,AST,6.4,7.0,6.6,-0.6,0.6,-2.9,2.9,UNDER,False,BKN,0,30.0,101
LeBron James,2026-02-03,PRA,32.3,35.0,34.3,-2.7,2.7,-5.9,5.9,UNDER,False,BKN,0,30.0,101
LeBron James,2026-02-05,PTS,21.7,17.0,22.0,4.7,4.7,-1.2,1.2,UNDER,True,PHI,1,37.0,102
LeBron James,2026-02-05,REB,5.5,4.0,5.7,1.5,1.5,-3.7,3.7,UNDER,True,PHI,1,37.0,102
LeBron James,2026-02-05,AST,7.1,10.0,6.6,-2.9,2.9,7.9,7.9,OVER,True,PHI,1,37.0,102
LeBron James,2026-02-05,PRA,34.3,31.0,34.3,3.3,3.3,0.1,0.1,OVER,False,PHI,1,37.0,102
LeBron James,2026-02-07,PTS,16.8,20.0,21.8,-3.2,3.2,-22.9,22.9,UNDER,True,GSW,1,35.0,103
LeBron James,2026-02-07,REB,5.0,7.0,5.6,-2.0,2.0,-10.8,10.8,UNDER,False,GSW,1,35.0,103
LeBron James,2026-02-07,AST,8.7,10.0,6.7,-1.3,1.3,29.5,29.5,OVER,True,GSW,1,35.0,103
LeBron James,2026-02-07,PRA,30.4,37.0,34.2,-6.6,6.6,-11.2,11.2,UNDER,False,GSW,1,35.0,103
LeBron James,2026-02-09,PTS,18.0,22.0,21.8,-4.0,4.0,-17.4,17.4,UNDER,False,OKC,1,36.0,104
LeBron James,2026-02-09,REB,6.7,6.0,5.7,0.7,0.7,18.8,18.8,OVER,True,OKC,1,36.0,104
LeBron James,2026-02-09,AST,8.9,10.0,6.8,-1.1,1.1,30.2,30.2,OVER,True,OKC,1,36.0,104
LeBron James,2026-02-09,PRA,33.9,38.0,34.3,-4.1,4.1,-1.2,1.2,UNDER,False,OKC,1,36.0,104
LeBron James,2026-02-12,PTS,22.5,28.0,21.8,-5.5,5.5,3.0,3.0,OVER,True,DAL,1,35.0,105
LeBron James,2026-02-12,REB,6.8,10.0,5.7,-3.2,3.2,19.1,19.1,OVER,True,DAL,1,35.0,105
LeBron James,2026-02-12,AST,9.2,12.0,6.9,-2.8,2.8,32.9,32.9,OVER,True,DAL,1,35.0,105
LeBron James,2026-02-12,PRA,37.7,50.0,34.4,-12.3,12.3,9.6,9.6,OVER,True,DAL,1,35.0,105
